ticker,date,open,high,low,close
NFT,2022-04-06,1.81088e-06,1.82106e-06,1.659e-06,1.67247e-06
NFT,2022-04-07,1.6724e-06,1.69987e-06,1.63736e-06,1.69627e-06
NFT,2022-04-08,1.69807e-06,1.72875e-06,1.65866e-06,1.66006e-06
NFT,2022-04-09,1.6544e-06,1.70661e-06,1.63389e-06,1.69321e-06
NFT,2022-04-10,1.69291e-06,1.71852e-06,1.64079e-06,1.67684e-06
NFT,2022-04-11,1.66993e-06,1.67473e-06,1.54426e-06,1.54586e-06
NFT,2022-04-12,1.54746e-06,1.63033e-06,1.53931e-06,1.61949e-06
NFT,2022-04-13,1.62019e-06,1.73642e-06,1.60318e-06,1.70311e-06
NFT,2022-04-14,1.70291e-06,1.72442e-06,1.63459e-06,1.66427e-06
NFT,2022-04-15,1.66407e-06,1.70774e-06,1.62923e-06,1.67533e-06
NFT,2022-04-16,1.67423e-06,1.68724e-06,1.63873e-06,1.66903e-06
NFT,2022-04-17,1.66993e-06,1.67764e-06,1.63096e-06,1.63603e-06
NFT,2022-04-18,1.63513e-06,1.64233e-06,1.55596e-06,1.60448e-06
NFT,2022-04-19,1.60458e-06,1.63723e-06,1.59738e-06,1.62422e-06
NFT,2022-04-20,1.62412e-06,1.69324e-06,1.61592e-06,1.63793e-06
NFT,2022-04-21,1.63803e-06,1.78436e-06,1.63636e-06,1.75608e-06
NFT,2022-04-22,1.75548e-06,1.80206e-06,1.55241e-06,1.57506e-06
NFT,2022-04-23,1.57291e-06,1.67864e-06,1.56641e-06,1.67383e-06
NFT,2022-04-24,1.67243e-06,1.67904e-06,1.57942e-06,1.60902e-06
NFT,2022-04-25,1.60872e-06,1.61052e-06,1.50105e-06,1.60306e-06
NFT,2022-04-26,1.60342e-06,1.60442e-06,1.49775e-06,1.52135e-06
NFT,2022-04-27,1.521e-06,1.562e-06,1.50015e-06,1.55816e-06
NFT,2022-04-28,1.55916e-06,1.56716e-06,1.521e-06,1.54815e-06
NFT,2022-04-29,1.548e-06,1.61216e-06,1.483e-06,1.48815e-06
NFT,2022-04-30,1.48815e-06,1.53115e-06,1.443e-06,1.49615e-06
NFT,2022-05-01,1.497e-06,1.50215e-06,1.34413e-06,1.425e-06
NFT,2022-05-02,1.426e-06,1.46615e-06,1.344e-06,1.37914e-06
NFT,2022-05-03,1.379e-06,1.448e-06,1.36573e-06,1.37686e-06
NFT,2022-05-04,1.37686e-06,1.516e-06,1.37186e-06,1.505e-06
NFT,2022-05-05,1.506e-06,1.54754e-06,1.35773e-06,1.39172e-06
NFT,2022-05-06,1.39172e-06,1.45171e-06,1.34073e-06,1.41486e-06
NFT,2022-05-07,1.41486e-06,1.45085e-06,1.26687e-06,1.27674e-06
NFT,2022-05-08,1.28174e-06,1.34346e-06,1.2435e-06,1.30961e-06
NFT,2022-05-09,1.30861e-06,1.31874e-06,1.06968e-06,1.09478e-06
NFT,2022-05-10,1.09778e-06,1.14077e-06,1.02269e-06,1.06257e-06
NFT,2022-05-11,1.06158e-06,1.10056e-06,6.8143e-07,8.5175e-07
NFT,2022-05-12,8.4886e-07,8.965e-07,7.49695e-07,7.50519e-07
NFT,2022-05-13,7.49072e-07,8.41042e-07,7.27956e-07,8.17907e-07
NFT,2022-05-14,7.39093e-07,7.60529e-07,7.35626e-07,7.51347e-07
NFT,2022-05-15,7.51347e-07,7.84579e-07,7.39264e-07,7.79963e-07
NFT,2022-05-16,7.81083e-07,7.93426e-07,6.86706e-07,7.36042e-07
