ticker,date,open,high,low,close
KNC,2022-05-18,1.99141,2.34395,1.97643,2.14121
KNC,2022-05-19,2.14121,2.45654,1.9948,2.40459
KNC,2022-05-20,2.40559,2.84372,2.38062,2.62185
KNC,2022-05-21,2.61586,2.69676,2.45381,2.53071
KNC,2022-05-22,2.52571,2.66553,2.50274,2.53795
KNC,2022-05-23,2.54394,2.59814,2.30246,2.31821
KNC,2022-05-24,2.31722,2.31898,1.97163,2.17617
KNC,2022-05-25,2.17717,2.31199,2.02377,2.15541
KNC,2022-05-26,2.15841,2.1604,1.82998,1.99081
KNC,2022-05-27,1.98981,2.01199,1.75007,1.81518
KNC,2022-05-28,1.80794,1.96758,1.78156,1.90577
KNC,2022-05-29,1.90074,1.93285,1.7942,1.89192
KNC,2022-05-30,1.89311,2.31338,1.86095,2.25819
KNC,2022-05-31,2.26042,2.47477,2.1213,2.15228
KNC,2022-06-01,2.15232,2.28433,1.91889,1.94705
KNC,2022-06-02,1.94625,2.01718,1.89329,2.01718
KNC,2022-06-03,2.01918,2.06314,1.8483,1.93831
KNC,2022-06-04,1.93931,1.94331,1.83709,1.90155
KNC,2022-06-05,1.89957,1.97442,1.86047,1.92419
KNC,2022-06-06,1.92619,2.06426,1.88426,1.96934
KNC,2022-06-07,1.96635,1.97534,1.8055,1.94141
KNC,2022-06-08,1.94145,1.95671,1.84462,1.88677
KNC,2022-06-09,1.88777,1.90355,1.84154,1.89241
KNC,2022-06-10,1.89239,1.89942,1.73419,1.78871
KNC,2022-06-11,1.7907,1.814,1.57915,1.69109
KNC,2022-06-12,1.68909,1.70108,1.44895,1.50415
KNC,2022-06-13,1.50215,1.50215,1.16725,1.23228
KNC,2022-06-14,1.2313,1.38753,1.10934,1.31742
KNC,2022-06-15,1.31541,1.48706,1.28433,1.4618
KNC,2022-06-16,1.47379,1.53116,1.3324,1.3863
KNC,2022-06-17,1.34832,1.4236,1.32996,1.35757
KNC,2022-06-18,1.35788,1.38152,1.12736,1.20904
KNC,2022-06-19,1.20804,1.32541,1.15633,1.3033
KNC,2022-06-20,1.3061,1.33,1.2199,1.2736
KNC,2022-06-21,1.2716,1.46439,1.26361,1.38647
KNC,2022-06-22,1.38761,1.3986,1.2716,1.32767
KNC,2022-06-23,1.32767,1.41858,1.30869,1.37862
KNC,2022-06-24,1.38162,1.49383,1.38062,1.45786
KNC,2022-06-25,1.45854,1.52799,1.40306,1.51994
